Peek-A-Boo Poker,Panesian,1991
Pesterminator,Color Dreams,1990
Peter Pan & the Pirates,THQ,1991
Phantom Fighter,FCI,1990
Pictionary,LJN,1990
Pin*Bot,Nintendo,1990
Pinball,Nintendo,1985
Pinball Quest,Jaleco,1990
Pipe Dream,Bullet Proof Software,1990
Pirates!,Ultra Games (Konami),1991
Platoon,Sunsoft,1988
Popeye,Nintendo,1986
Power Blade,Taito,1991
Power Blade 2,Taito,1992
Power Punch II,American Softworks,1992
Predator,Activision,1989
Prince of Persia,Virgin Games,1992
Princess Tomato in the Salad Kingdom,Hudson Soft,1991
Pro Sport Hockey,Jaleco,1993
Pro Wrestling,Nintendo,1987
Punch-Out!!,Nintendo,1990
"Punisher, The",LJN,1990
Puss 'N Boots: Pero's Great Adventure,Electro Brain,1990
Puzzle,AVE,1990
Puzznic,Taito,1990
Pyramid,AVE,1992
Q*bert,Ultra Games (Konami),1989
Qix,Taito,1991
Quattro Adventure,Camerica,1993
Quattro Adventure (Aladdin),Camerica,1993
Quattro Arcade,Camerica,1992
Quattro Sports,Camerica,1991
Quattro Sports (Aladdin),Camerica,1991
R.B.I. Baseball (licensed grey cart),Tengen,1988
R.B.I. Baseball (unlicensed black cart),Tengen,1988
R.B.I. Baseball 2,Tengen,1990
R.B.I. Baseball 3,Tengen,1991
R.C. Pro-Am,Nintendo,1988
R.C. Pro-Am II,Tradewest,1992
Race America,Absolute,1992
RacerMate Challenge II,RacerMate,1996
Racket Attack,Jaleco,1988
Rad Racer,Nintendo,1987
Rad Racer II,Square,1990
Rad Racket: Deluxe Tennis II,AVE,1991
Raid 2020,Color Dreams,1989
Raid on Bungeling Bay,Broderbund,1987
Rainbow Islands,Taito,1991
Rally Bike,Romstar,1990
Rambo,Acclaim,1988
Rampage,Data East,1988
Rampart,Jaleco,1992
Remote Control,Hi-Tech Expressions,1990
"Ren & Stimpy Show, The: Buckeroo$!",THQ,1993
Renegade,Taito,1988
Rescue: The Embassy Mission,Kemco,1990
Ring King,Data East,1987
River City Ransom,American Technos,1990
Road Runner,Tengen,1989
RoadBlasters,Mindscape,1990
Robin Hood: Prince of Thieves,Virgin Games,1991
Robo Warrior,Jaleco,1988
RoboCop,Data East,1989
RoboCop 2,Data East,1991
RoboCop 3,Ocean Software,1992
Robodemons,Color Dreams,1989
Rock 'n Ball,NTVIC,1990
Rocket Ranger,Kemco,1990
"Rocketeer, The",Bandai,1991
Rockin' Kats,Atlus,1991
Roger Clemens' MVP Baseball,LJN,1991
Rollerball,HAL Laboratory,1990
Rollerblade Racer,Hi-Tech Expressions,1993
Rollergames,Ultra Games (Konami),1990
Rolling Thunder,Tengen,1989
Romance of the Three Kingdoms,Koei,1989
Romance of the Three Kingdoms II,Koei,1991
Roundball: 2-on-2 Challenge,Mindscape,1992
Rush'n Attack,Konami,1987
Rygar,Tecmo,1987
S.C.A.T.: Special Cybernetic Attack Team,Natsume,1991
Secret Scout in the Temple of Demise,Color Dreams,1991
Section-Z,Capcom,1987
Seicross,FCI,1988
Sesame Street 123,Hi-Tech Expressions,1989
Sesame Street ABC,Hi-Tech Expressions,1989
Sesame Street ABC/123,Hi-Tech Expressions,1991
Sesame Street Countdown,Hi-Tech Expressions,1992
Sesame Street: Big Bird's Hide & Speak,Hi-Tech Expressions,1990
Shadow of the Ninja,Natsume,1990
Shadowgate,Kemco,1989
Shatterhand,Jaleco,1991
Shingen the Ruler,Hot-B,1990
Shinobi,Tengen,1989
Shockwave,American Game Cartridges,1990
Shooting Range,Bandai,1989
Short Order/Eggsplode!,Nintendo,1989
Side Pocket,Data East,1987
Silent Assault,Color Dreams,1990
Silent Service,Ultra Games (Konami),1989
Silkworm,American Sammy,1990
Silver Surfer,Arcadia Systems,1990
"Simpsons, The: Bart vs. the Space Mutants",Acclaim,1991
"Simpsons, The: Bart vs. the World",Acclaim,1991
